,player,team,line,stat,league,date,time
1341,Sebastian Aho,OTT,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1342,Vladimir Tarasenko,CAR,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1343,Teuvo Teravainen,OTT,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1344,Andreas Athanasiou,BOS,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1345,Brad Marchand,CHI,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1346,Connor Bedard,BOS,3.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1347,Charlie McAvoy,CHI,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1348,Tyler Johnson,BOS,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1349,David Pastrnak,CHI,5.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1350,Seth Jones,BOS,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1351,Jake DeBrusk,CHI,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1352,Taylor Hall,BOS,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1353,James van Riemsdyk,CHI,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1354,Taylor Raddysh,BOS,1.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1355,Artturi Lehkonen,LA,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1356,Adrian Kempe,COL,3.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1357,Cale Makar,LA,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1358,Mikko Rantanen,LA,3.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1359,Phillip Danault,COL,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1360,Nathan MacKinnon,LA,5.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
